week,start_date,end_date,student_id,cars_accuracy,sciences_accuracy,class_accuracy,completed_mandatory_lessons,percentage_mandatory_complete,completed_lessons,total_completed_passages_discrete_sets,time,time_formatted,num_attended_small_session,num_scheduled_small_session,num_attended_large_session,num_scheduled_large_session,time_spent_noq,time_spent,total_time_spent,,
7,1/6/25,1/12/25,10,,,,0,0.1,1,0,0,00:00:00,,,,,0:00:00,0:00:00,2:16:53,,
8,1/13/25,1/19/25,10,,0.99,,17,0.23,17,7,3.5,03:30:00,,,,,13:07:00,16:37:00,18:53:53,,
1,11/25/24,12/1/24,11,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,11,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,11,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
4,12/16/24,12/22/24,11,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
5,12/23/24,12/29/24,11,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
6,12/30/24,1/5/25,11,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
7,1/6/25,1/12/25,11,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
8,1/13/25,1/19/25,11,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
1,11/25/24,12/1/24,12,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,12,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
3,12/9/24,12/15/24,12,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
4,12/16/24,12/22/24,12,,,,1,0.01,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
5,12/23/24,12/29/24,12,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
6,12/30/24,1/5/25,12,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
7,1/6/25,1/12/25,12,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
8,1/13/25,1/19/25,12,,,,0,0,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
1,11/25/24,12/1/24,13,,,,3,0.02,3,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,13,,0.71,,0,0.02,1,1,0.5,00:30:00,,,,,6:31:30,7:01:30,7:01:30,,
3,12/9/24,12/15/24,13,,,,0,0.02,1,0,0,00:00:00,,,,,0:00:00,0:00:00,7:01:30,,
4,12/16/24,12/22/24,13,,,,1,0,0,0,0,00:00:00,,,,,0:00:00,0:00:00,7:01:30,,
5,12/23/24,12/29/24,13,,,,0,0.02,1,0,0,00:00:00,,,,,0:00:00,0:00:00,7:01:30,,
6,12/30/24,1/5/25,13,,,,1,0.02,0,0,0,00:00:00,,,,,0:00:00,0:00:00,7:01:30,,
7,1/6/25,1/12/25,13,,,,10,0.1,12,0,0,00:00:00,,,,,0:00:00,0:00:00,7:01:30,,
8,1/13/25,1/19/25,13,,1,,18,0.23,32,2,1,01:00:00,,,,,0:45:00,1:45:00,8:46:30,,
1,11/25/24,12/1/24,14,,,,0,0.33,1,0,0,00:00:00,,,,,0:00:00,0:00:00,0:00:00,,
2,12/2/24,12/8/24,14,0.83,0.72,,10,0.37,26,29,14.5,14:30:00,,,,,19:12:16,9:42:16,9:42:16,,
3,12/9/24,12/15/24,14,,0.95,,3,0.4,7,3,1.5,01:30:00,,,,,2:42:40,4:12:40,13:54:56,,
4,12/16/24,12/22/24,14,,,,,,,,0,00:00:00,,,,,9:08:42,9:08:42,23:03:38,,
5,12/23/24,12/29/24,14,,,,6,0.45,10,,0,00:00:00,,,,,4:49:35,4:49:35,27:52:48,,
6,12/30/24,1/5/25,14,0.7,0.84,,5,0.5,11,8,4,04:00:00,,,,,13:00:53,17:00:53,44:53:41,,
7,1/6/25,1/12/25,14,0.75,0.93,,0,0.57,5,22,11,11:00:00,,,,,1:29:24,12:29:24,57:23:05,,
8,1/13/25,1/19/25,14,0.71,0.88,,2,0.59,19,29,14.5,14:30:00,,,,,0:45:00,15:15:00,72:38:05,,
